Customer_ID,Churn
25277,0
23404,0
27148,0
20076,0
21519,0
27101,1
25219,1
23751,0
27428,0
24289,0
27940,0
24787,0
29832,0
29728,1
25151,0
23909,0
29287,0
22319,1
29384,0
21086,0
29905,0
20291,0
21660,1
20150,0
22274,1
24155,0
25771,0
27221,0
21568,0
28904,0
27077,0
28137,0
20822,1
26802,0
26857,0
21353,0
21827,0
25413,0
24513,0
28751,0
22459,0
20823,0
23050,0
26824,0
22311,0
20176,0
21662,0
24943,0
27738,0
29411,0
22977,0
23507,1
23801,0
20783,0
27638,1
20489,0
23013,0
24076,0
26165,0
23834,1
29989,0
21451,0
24230,0
27104,0
21834,0
20205,1
28901,0
22907,0
22798,1
21617,0
29863,0
24070,0
26727,1
25469,0
26852,0
24045,0
25461,0
27501,0
20017,0
23118,1
25804,0
26382,0
21304,0
23198,0
24618,0
24676,0
25401,0
24982,0
21367,0
23553,0
28009,1
21581,0
24439,0
26277,0
27783,0
27907,0
20376,0
25094,1
27205,1
28197,0
27431,0
24518,0
23867,0
29350,0
29035,0
21687,0
27451,1
26010,0
22439,1
25255,0
29851,0
23548,0
25308,0
27131,0
25916,0
21071,0
23345,1
29363,0
28661,0
24991,0
25853,0
20693,0
22859,0
29145,1
27455,0
24815,0
26916,0
25937,0
28895,0
28204,0
20646,0
25284,1
20830,0
23282,1
28388,0
23990,0
24041,0
29500,0
26032,0
23879,0
28399,0
27384,0
27190,1
20753,0
24099,1
28208,0
27153,0
23664,0
26051,0
25316,0
21697,0
25809,0
27601,0
29408,0
29536,0
23179,0
28474,0
24206,0
24912,1
26463,0
21319,0
28425,0
23828,0
23900,1
23566,0
26904,1
23938,0
20020,0
20552,0
26300,0
26940,0
22393,0
26289,0
20070,0
21940,0
26461,0
21388,0
23365,0
29319,0
27539,0
22091,0
24199,0
23139,0
23676,0
24629,0
22934,0
26151,0
26315,0
28218,0
28800,0
28482,1
29347,0
25795,0
20885,0
26686,0
23358,0
21026,0
25521,1
27912,0
23006,0
21184,0
21252,0
26971,0
24207,0
24688,0
22380,0
28515,0
29559,0
25408,0
21773,1
27325,0
22191,0
24335,0
20427,0
28269,1
28936,0
27954,0
23395,0
23785,0
27890,0
27584,0
20800,0
23112,0
23436,0
25212,1
22023,0
27215,0
28716,0
21631,0
23784,0
23327,0
21706,1
22698,0
25229,0
21352,0
22060,1
28967,0
20060,0
28696,0
28902,1
24067,0
25846,0
29241,0
24150,0
20620,0
24325,1
23982,0
26709,0
27388,0
27469,1
26011,0
24474,0
23517,0
20261,0
27183,1
28623,0
22963,0
26311,0
26629,0
23001,0
26490,0
29038,0
27787,0
27365,0
29437,1
21985,0
29515,0
22841,0
24521,0
24063,0
26572,0
28021,1
25443,1
29307,1
26567,0
25531,0
25405,0
22596,0
21448,0
28247,1
25564,0
23998,0
23947,0
28589,0
27044,0
24128,0
23184,1
25194,0
21571,0
26131,0
25381,0
28679,0
28345,0
24558,0
28657,0
28651,0
20234,0
21160,0
25820,0
22770,0
24738,0
23331,0
29942,1
24594,0
24465,1
26369,0
25727,0
29655,0
23267,0
24340,1
28933,0
24966,0
28905,0
23582,1
23614,0
26374,0
27566,0
29958,0
27329,0
21354,1
26869,0
23177,0
25120,0
29903,0
26932,0
29753,0
22659,0
25303,0
23796,0
27293,1
27115,0
24799,0
24564,0
28714,0
23224,0
22885,0
24175,0
25427,0
25864,0
21604,0
29632,0
22310,0
29932,0
24901,0
23225,0
28376,0
24626,0
21991,0
22701,0
23787,0
21419,0
27588,0
23634,0
24718,1
27624,0
20003,0
26060,0
25437,0
20244,0
25047,0
25806,0
21573,0
23115,1
22066,0
25873,0
20891,0
21131,0
24717,0
29359,0
25981,0
21436,0
22275,0
29026,0
22679,0
22716,1
25216,1
25925,0
29292,0
21009,0
27342,0
27058,0
26484,0
26383,0
21035,0
26866,0
27425,0
24460,0
26861,0
27752,0
24359,1
24954,0
23946,0
27041,0
24786,0
24425,0
22224,1
26763,0
22568,0
20350,1
22589,0
21841,0
24554,0
26222,0
27684,1
23296,0
20045,1
27347,0
26796,0
20476,0
22657,0
26457,0
28135,0
23825,0
29179,0
29312,1
22150,0
22436,0
22556,0
24551,0
20091,0
23384,0
27283,0
24431,0
27071,0
27209,0
26949,0
26735,0
29955,0
